001,003,005,020,040,090,092,100,245,264,300,520,590,920,921,923,LDR
65277782,MePoLT,20250518141052.0,\\$a0674994590,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 622.5 .A9 1957 v.7,\4$a189,1\$aAugustine.,"10$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7).","\1$aLoeb Classical Library (1972), Edition$b abridged edition, Hardcover, 480 pages,$c1972.",\\$a461  p.,"\\$aAugustine: City of God, Volume VII, Books 21-22 (Loeb Classical Library No. 417) (Bks.XXI-XXII v. 7) by Augustine (1972)",,\\$aLoeb,,\\$aYour library,00681     2200193 i 4500
65277797,MePoLT,20250518141052.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6220.5 .A12 1953,\4$a281.4,"1\$aBaxter, James Houston (trans.).",10$aSt.Augustine Select Letters (Loeb Classical Library).,"\1$bWilliam Heinemann,$c1953.",,\\$aSt.Augustine Select Letters (Loeb Classical Library) by James Houston (trans.) Baxter (1953),,\\$aLoeb,,\\$aYour library,00513     2200169 i 4500
65277867,MePoLT,20250518141052.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6229 .B4 1930,\4$a870,"1\$aKing, Bede. Translated By J.E.","10$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library.","\1$bHarvard University Press,$c1954.",,"\\$aBede: Historical Works, Volume I and II. Opera Historica. Loeb Classical Library by Bede. Translated By J.E. King (1954)",,\\$aLoeb$a2 vols,,\\$aYour library,00578     2200169 i 4500
65277877,MePoLT,20250518141052.0,\\$a0674990838,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6231 .C8 1973,\4$a180,1\$aBoethius.,10$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library).,"\1$aLoeb Classical Library (1973), Edition$b Reprint, Hardcover, 464 pages,$c1973.",\\$a464  p.,\\$aBoethius: Theological Tractates. The Consolation of Philosophy (Loeb Classical Library) by Boethius (1973),,\\$aLoeb,,\\$aYour library,00639     2200193 i 4500
65277939,MePoLT,20250518141052.0,\\$a0674994434,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6235 .A2 1914 v.3,\4$a937,1\$aCaesar.,10$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402).,"\1$bLoeb Classical Library,$c1955.",\\$a464  p.,\\$aCaesar: Alexandrian War. African War. Spanish War (Loeb Classical Library No. 402) by Caesar (1955),,\\$aLoeb,,\\$aYour library,00581     2200193 i 4500
65277953,MePoLT,20250518141052.0,\\$a0674993136,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6271 .C7 1935,\4$a630,1\$aCato.,10$aCato and Varro: On Agriculture (Loeb Classical Library No. 283).,"\1$aLoeb Classical Library (1934), Edition$b Revised, Hardcover, 576 pages,$c1934.",\\$a576  p.,\\$aCato and Varro: On Agriculture (Loeb Classical Library No. 283) by Cato (1934),,\\$aLoeb,,\\$aYour library,00583     2200193 i 4500
65278008,MePoLT,20250518141052.0,\\$a0434993042,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6277 .C2 1935 v.2',\4$a610,1\$aCelsus.,"10$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2).","\1$bHarvard / Heinemann / Loeb Classical Library,$c1938.",\\$a358  p.,"\\$aCelsus: On Medicine, Vol. 2 (De Medicina, Vol. 2), Books 5-6 (Loeb Classical Library) (Bks.V-VI v. 2) by Celsus (1938)",,\\$aLoeb,,\\$aYour library,00642     2200193 i 4500
65278016,MePoLT,20250518141052.0,\\$a0674993705,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6277 .C2 1935 v.3,\4$a610,1\$aCelsus.,"10$aCelsus: On Medicine, Vol. 3 (De Medicina, Vol. 3), Books 7-8 (Loeb Classical Library, No. 336).","\1$bHarvard / Heinemann / Loeb Classical Library,$c1938.",\\$a368  p.,"\\$aCelsus: On Medicine, Vol. 3 (De Medicina, Vol. 3), Books 7-8 (Loeb Classical Library, No. 336) by Celsus (1938)",,\\$aLoeb,,\\$aYour library,00627     2200193 i 4500
65278126,MePoLT,20250518141052.0,\\$a0674992180,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6278 .A2 v.9 1927,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aCicero: Orations (Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis Reo. (Loeb Classical Library No. 198).,"\1$bLoeb Classical Library,$c1927.",\\$a512  p.,\\$aCicero: Orations (Pro Lege Manilia. Pro Caecina. Pro Cluentio. Pro Rabirio. Perduellionis Reo. (Loeb Classical Library No. 198) by Marcus Tullius Cicero (1927),,\\$aLoeb,,\\$aYour library,00709     2200193 i 4500
65278151,MePoLT,20250518141053.0,\\$a0674992784,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6278 .A2 v.14 1953,\4$a937.050924,"1\$aCicero, Marcus Tullius.",10$aPro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro (Loeb Classical Library).,"\1$aLoeb Classical Library (1931), Edition$b Revised, Hardcover, 560 pages,$c1931.",\\$a560  p.,\\$aPro Milone. In Pisonem. Pro Scauro. Pro Fonteio. Pro Rabirio Postumo. Pro Marcello. Pro Ligario. Pro Rege Deiotaro (Loeb Classical Library) by Marcus Tullius Cicero (1931),,\\$aLoeb,,\\$aYour library,00782     2200193 i 4500
