001,003,005,020,040,090,092,100,245,264,300,520,590,920,921,923,LDR
65919451,MePoLT,20250518141055.0,\\$a0674995554,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6501 .A2 1993 v.1,\4$a878.0102,1\$aMartial.,"10$aEpigrams, Volume I: Spectacles, Books 1-5 (Loeb Classical Library).","\1$bLoeb Classical Library,$c1993.",\\$a416  p.,"\\$aEpigrams, Volume I: Spectacles, Books 1-5 (Loeb Classical Library) by Martial (1993)",,\\$aLoeb,,\\$aYour library,00556     2200193 i 4500
65919462,MePoLT,20250518141057.0,\\$a0674995562,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6501 .A2 1993 v.2,\4$a878.0102,1\$aMartial.,"10$aEpigrams, Volume II: Books 6-10 (Loeb Classical Library).","\1$bLoeb Classical Library,$c1993.",\\$a416  p.,"\\$aEpigrams, Volume II: Books 6-10 (Loeb Classical Library) by Martial (1993)",,\\$aLoeb,,\\$aYour library,00536     2200193 i 4500
65919505,MePoLT,20250518141057.0,\\$a0674995147,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6515 .A2 1984,\4$a920,"1\$aNepos, Cornelius.",10$aCornelius Nepos: On Great Generals. On Historians. (Loeb Classical Library No. 467).,"\1$bLoeb Classical Library,$c1929.",\\$a368  p.,\\$aCornelius Nepos: On Great Generals. On Historians. (Loeb Classical Library No. 467) by Cornelius Nepos (1929),,\\$aLoeb,,\\$aYour library,00598     2200193 i 4500
65919534,MePoLT,20250518141057.0,\\$a0674992792,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6519 .A2 1977 v.5,\4$a871.01,1\$aOvid.,10$aOvid: Fasti (Loeb Classical Library No. 253) (English and Latin Edition).,"\1$aHarvard University Press (1989), Edition$b 2nd, Hardcover, 496 pages,$c1989.",\\$a496  p.,\\$aOvid: Fasti (Loeb Classical Library No. 253) (English and Latin Edition) by Ovid (1989),,\\$aLoeb,,\\$aYour library,00606     2200193 i 4500
65919554,MePoLT,20250518141057.0,\\$a0674990471,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6519 .A2 1977 v.4,\4$a871.01,1\$aOvid.,"10$aOvid IV: Metamorphoses, Books IX-XV (Loeb Classical Library, No. 43).","\1$aLoeb Classical Library (1916), Edition$b 2 Sub, Hardcover, 512 pages,$c1916.",\\$a512  p.,"\\$aOvid IV: Metamorphoses, Books IX-XV (Loeb Classical Library, No. 43) by Ovid (1916)",,\\$aLoeb,,\\$aYour library,00598     2200193 i 4500
65919580,MePoLT,20250518141057.0,\\$a0674990161,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6558 .A2 1987,\4$a873.01,1\$aPetronius.,10$aPetronius: Satyricon; Seneca: Apocolocyntosis (Loeb Classical Library No. 15).,"\1$aLoeb Classical Library (1913), Edition$b Revised, Hardcover, 544 pages,$c1913.",\\$a544  p.,\\$aPetronius: Satyricon; Seneca: Apocolocyntosis (Loeb Classical Library No. 15) by Petronius (1913),,\\$aLoeb,,\\$aYour library,00624     2200193 i 4500
65919629,MePoLT,20250518141057.0,\\$a0674990684,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6568 .A2 1916 v.2,\4$a872.01,1\$aPaul Nixon.,10$aCasina. The Casket Comedy. Curculio. Epidicus. The Two Menaechmuses (Loeb Classical Library).,"\1$bLoeb Classical Library,$c1917.",\\$a512  p.,\\$aCasina. The Casket Comedy. Curculio. Epidicus. The Two Menaechmuses (Loeb Classical Library) by Paul Nixon (1917),,\\$aLoeb$a2 copies,,\\$aYour library,00622     2200193 i 4500
65920211,MePoLT,20250518141057.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6568 .A2 1916 v.3,\4$a872.01,"1\$aNixon, Paul.",10$aPlautus III: The Merchant. The Braggart Warrior. The Haunted House. The Persian. (Loeb Classical Library).,"\1$aHarvard University Press (1995), Edition$b 163, Hardcover,$c1995.",,\\$aPlautus III: The Merchant. The Braggart Warrior. The Haunted House. The Persian. (Loeb Classical Library) by Paul Nixon (1995),,\\$aLoeb,,\\$aYour library,00623     2200169 i 4500
65920531,MePoLT,20250518141057.0,\\$a0674990617,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6638 .A2 1969 v.1,\4$a809,"1\$aYounger, Pliny the.","10$aLetters and Panegyricus I, Books 1-7 (Loeb Classical Library).","\1$bLoeb Classical Library,$c1969.",\\$a563  p.,"\\$aLetters and Panegyricus I, Books 1-7 (Loeb Classical Library) by Pliny the Younger (1969)",,\\$aLoeb$aDUP$aCHECK,,\\$aYour library,00574     2200193 i 4500
65920551,MePoLT,20250518141057.0,\\$a0674993896,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6611 .A2 1940 v.3,\4$a508,1\$aPliny.,"10$aPliny: Natural History, Volume III, Books 8-11 (Loeb Classical Library No. 353) (Bks.VIII-XI v. 3).","\1$bLoeb Classical Library,$c1940.",\\$a624  p.,"\\$aPliny: Natural History, Volume III, Books 8-11 (Loeb Classical Library No. 353) (Bks.VIII-XI v. 3) by Pliny (1940)",,\\$aLoeb,,\\$aYour library,00611     2200193 i 4500
65920569,MePoLT,20250518141057.0,\\$a0674994094,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6611 .A2 1940 v.5,\4$a508,1\$aPliny.,"10$aPliny: Natural History, Volume V, Books 17-19 (Loeb Classical Library No. 371).","\1$bLoeb Classical Library,$c1950.",\\$a560  p.,"\\$aPliny: Natural History, Volume V, Books 17-19 (Loeb Classical Library No. 371) by Pliny (1950)",,\\$aLoeb,,\\$aYour library,00571     2200193 i 4500
65920630,MePoLT,20250518141057.0,\\$a0674994329,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6611 .A2 1940 v.7,\4$a508,1\$aPliny.,"10$aPliny: Natural History, Volume VII, Books 24-27. Index of Plants. (Loeb Classical Library No. 393).","\1$bLoeb Classical Library,$c1956.",\\$a576  p.,"\\$aPliny: Natural History, Volume VII, Books 24-27. Index of Plants. (Loeb Classical Library No. 393) by Pliny (1956)",,\\$aLoeb,,\\$aYour library,00611     2200193 i 4500
65920638,MePoLT,20250518141058.0,\\$a0674994337,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6611 .A2 1940 v.9,\4$a920,1\$aPliny.,"10$aPliny: Natural History, Volume IX, Books 33-35. (Loeb Classical Library No. 394).","\1$bLoeb Classical Library,$c1952.",\\$a432  p.,"\\$aPliny: Natural History, Volume IX, Books 33-35. (Loeb Classical Library No. 394) by Pliny (1952)",,\\$aLoeb,,\\$aYour library,00575     2200193 i 4500
65940515,MePoLT,20250518141058.0,\\$a067499020X,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6645 .A2 1999,\4$a874.01,1\$aPropertius.,"10$aPropertius, Elegies (Loeb Classical Library No. 18).","\1$bLoeb Classical Library,$c1990.",\\$a464  p.,"\\$aPropertius, Elegies (Loeb Classical Library No. 18) by Propertius (1990)",,\\$aLoeb,,\\$aYour library,00526     2200193 i 4500
65940536,MePoLT,20250518141058.0,\\$a0674994388,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6648 .P6 1949 v.2,\4$a937,1\$aPrudentius.,10$aPrudentius: Against Symmachus 2. Crowns of Martyrdom. Scenes From History. Epilogue (Loeb Classical Library No. 398).,"\1$bLoeb Classical Library,$c1953.",\\$a400  p.,\\$aPrudentius: Against Symmachus 2. Crowns of Martyrdom. Scenes From History. Epilogue (Loeb Classical Library No. 398) by Prudentius (1953),,\\$aLoeb,,\\$aYour library,00657     2200193 i 4500
65940545,MePoLT,20250518141058.0,\\$a0674995910,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6649 .A2 2001 v.1,\4$a808.51,1\$aQuintilian.,"10$aThe Orator's Education, Volume I: Books 1-2 (Loeb Classical Library) (v. 1, Bk. 1-2).","\1$bLoeb Classical Library,$c2002.",\\$a448  p.,"\\$aThe Orator's Education, Volume I: Books 1-2 (Loeb Classical Library) (v. 1, Bk. 1-2) by Quintilian (2002)",,\\$aLoeb,,\\$aYour library,00596     2200193 i 4500
65940585,MePoLT,20250518141058.0,\\$a0674995945,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6649 .A2 2001 v.4,\4$a808.51,1\$aQuintilian.,"10$aQuintilian: The Orator's Education, IV, Books 9-10 (Loeb Classical Library No. 127).","\1$aLoeb Classical Library (2002), Edition$b Revised, Hardcover, 432 pages,$c2002.",\\$a432  p.,"\\$aQuintilian: The Orator's Education, IV, Books 9-10 (Loeb Classical Library No. 127) by Quintilian (2002)",,\\$aLoeb,,\\$aYour library,00642     2200193 i 4500
65940595,MePoLT,20250518141058.0,\\$a0674995953,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6649 .A2 2001 v.5,\4$a808.51,1\$aQuintilian.,"10$aQuintilian: The Orator's Education, V, Books 11-12 (Loeb Classical Library No. 494).","\1$bLoeb Classical Library,$c2002.",\\$a448  p.,"\\$aQuintilian: The Orator's Education, V, Books 11-12 (Loeb Classical Library No. 494) by Quintilian (2002)",,\\$aLoeb,,\\$aYour library,00594     2200193 i 4500
65940627,MePoLT,20250518141058.0,\\$a0674994051,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6376 .A2 1946 v.1,\4$a938,"1\$aCurtius, Quintus.","10$aQuintus Curtius: History of Alexander, Volume I, Books 1-5 (Loeb Classical Library No. 368).","\1$bLoeb Classical Library,$c1946.",\\$a464  p.,"\\$aQuintus Curtius: History of Alexander, Volume I, Books 1-5 (Loeb Classical Library No. 368) by Quintus Curtius (1946)",,\\$aLoeb,,\\$aYour library,00618     2200193 i 4500
65940651,MePoLT,20250518141058.0,\\$a0674994078,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6376 .A2 1946 v.2,\4$a937,"1\$aCurtius, Quintus.","10$aQuintus Curtius: History of Alexander, Volume II, Books 6-10 (Loeb Classical Library No. 369).","\1$bLoeb Classical Library,$c1946.",\\$a640  p.,"\\$aQuintus Curtius: History of Alexander, Volume II, Books 6-10 (Loeb Classical Library No. 369) by Quintus Curtius (1946)",,\\$aLoeb,,\\$aYour library,00622     2200193 i 4500
65940730,MePoLT,20250518141058.0,\\$a0674992369,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6661 .A7 1928 v.1,\4$a188,1\$aSeneca.,"10$aSeneca: Moral Essays, Volume I (Loeb Classical Library No. 214).","\1$bLoeb Classical Library,$c1928.",\\$a480  p.,"\\$aSeneca: Moral Essays, Volume I (Loeb Classical Library No. 214) by Seneca (1928)",,\\$aLoeb,,\\$aYour library,00543     2200193 i 4500
65940740,MePoLT,20250518141058.0,\\$a0674993438,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6661 .A7 1928 v.3,\4$a188,1\$aSeneca.,"10$aSeneca: Moral Essays, Volume III. De Beneficiis. (Loeb Classical Library No. 310).","\1$bLoeb Classical Library,$c1935.",\\$a544  p.,"\\$aSeneca: Moral Essays, Volume III. De Beneficiis. (Loeb Classical Library No. 310) by Seneca (1935)",,\\$aLoeb,,\\$aYour library,00579     2200193 i 4500
65941126,MePoLT,20250518141058.0,\\$a0674990862,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6661 .E6 1917 v.3,\4$a170,1\$aSeneca.,"10$aSeneca, VI, Epistles 93-124 (Loeb Classical Library).","\1$aLoeb Classical Library (1925), Edition$b Revised, Hardcover, 480 pages,$c1925.",\\$a480  p.,"\\$aSeneca, VI, Epistles 93-124 (Loeb Classical Library) by Seneca (1925)",,,,\\$aYour library,00548     2200181 i 4500
65941173,MePoLT,20250518141058.0,\\$a0674996100,\\$aMePoLT$cMePoLT$erda,\4$aPA 6666 .A1 F58 v2,\4$a872.01,1\$aSeneca.,"10$aTragedies II: Oedipus, Agamemnon, Thyestes, Hercules on Oeta, Octavia (Loeb Classical Library).","\1$aLoeb Classical Library (2004), Edition$b annotated edition, Hardcover, 672 pages,$c2004.",\\$a672  p.,"\\$aTragedies II: Oedipus, Agamemnon, Thyestes, Hercules on Oeta, Octavia (Loeb Classical Library) by Seneca (2004)",,\\$aLoeb$aDUP$aREMOVE$aCHECK,,\\$aYour library,00679     2200193 i 4500
65941238,MePoLT,20250518141058.0,\\$a0674994620,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6694 .S7 1936 v.2,\4$a808,1\$aSidonius.,"10$aSidonius: Letters, Books 3-9 (Loeb Classical Library No. 420).","\1$bLoeb Classical Library,$c1965.",\\$a672  p.,"\\$aSidonius: Letters, Books 3-9 (Loeb Classical Library No. 420) by Sidonius (1965)",,\\$aLoeb,,\\$aYour library,00543     2200193 i 4500
65941257,MePoLT,20250518141059.0,\\$a0674993063,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6695 .A2 1927 v.2,\4$a808,"1\$aItalicus, Silius.","10$aSilius Italicus: Punica, Volume II, Books 9-17 (Loeb Classical Library No. 278).","\1$bLoeb Classical Library,$c1934.",\\$a512  p.,"\\$aSilius Italicus: Punica, Volume II, Books 9-17 (Loeb Classical Library No. 278) by Silius Italicus (1934)",,\\$aLoeb,,\\$aYour library,00594     2200193 i 4500
65941314,MePoLT,20250518141059.0,\\$a0674012089,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6697 .A2 2003 v.2,\4$a809,"1\$aStatius, P. Papinius.","10$aThebaid, Volume I: Thebaid: Books 1-7 (Loeb Classical Library) (English and Latin Edition) (Bk. 1-7).","\1$bHarvard University Press,$c2004.",\\$a480  p.,"\\$aThebaid, Volume I: Thebaid: Books 1-7 (Loeb Classical Library) (English and Latin Edition) (Bk. 1-7) by P. Papinius Statius (2004)",,\\$aLoeb,,\\$aYour library,00646     2200193 i 4500
65941329,MePoLT,20250518141059.0,\\$a0674995708,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6700 .A2 1997 v.1,\4$a920.037,1\$aSuetonius.,"10$aSuetonius, Vol. 1: The Lives of the Caesars--Julius. Augustus. Tiberius. Gaius. Caligula (Loeb Classical Library, No. 31).","\1$bLoeb Classical Library,$c1914.",\\$a528  p.,"\\$aSuetonius, Vol. 1: The Lives of the Caesars--Julius. Augustus. Tiberius. Gaius. Caligula (Loeb Classical Library, No. 31) by Suetonius (1914)",,\\$aLoeb,,\\$aYour library,00669     2200193 i 4500
65941335,MePoLT,20250518141059.0,\\$a0674995651,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6700 .A2 1997 v.2,\4$a920.037,1\$aSuetonius.,"10$aSUETONIUS Vol.II The Lives of the Caesars, II: Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. ..Passienus Crispus (Loeb.","\1$aLoeb Classical Library (1914), Edition$b Revised, Hardcover, 576 pages,$c1914.",\\$a576  p.,"\\$aSUETONIUS Vol.II The Lives of the Caesars, II: Claudius. Nero. Galba, Otho, and Vitellius. Vespasian. Titus, Domitian. Lives of Illustrious Men: Grammarians and Rhetoricians. ..Passienus Crispus (Loeb by Suetonius (1914)",,\\$aLoeb,,\\$aYour library,00875     2200193 i 4500
65941570,MePoLT,20250518141059.0,\\$a067499597X,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6755 .A2 2001 v.1,\4$a872.01,1\$aTerence.,"10$aTerence, Volume I. The Woman of Andros. The Self-Tormentor. The Eunuch (Loeb Classical Library No. 22).","\1$bLoeb Classical Library,$c2001.",\\$a464  p.,"\\$aTerence, Volume I. The Woman of Andros. The Self-Tormentor. The Eunuch (Loeb Classical Library No. 22) by Terence (2001)",,\\$amissing$aLoeb,,\\$aYour library,00635     2200193 i 4500
65941598,MePoLT,20250518141059.0,\\$a0674992768,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6786 .T3 1931,\4$a281.08,1\$aTertullian.,10$aTertullian: Apology and De Spectaculis. Minucius Felix: Octavius (Loeb Classical Library No. 250) (English and Latin Edition).,"\1$bLoeb Classical Library,$c1931.",\\$a480  p.,\\$aTertullian: Apology and De Spectaculis. Minucius Felix: Octavius (Loeb Classical Library No. 250) (English and Latin Edition) by Tertullian (1931),,,,\\$aYour library,00653     2200181 i 4500
65941613,MePoLT,20250518141059.0,\\$a0674993160,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6791 .V4 1936,\4$a873.01,"1\$aFlaccus, Valerius.",10$aValerius Flaccus: Argonautica (Loeb Classical Library No. 286).,"\1$aLoeb Classical Library (1934), Edition$b Revised, Hardcover, 480 pages,$c1934.",\\$a480  p.,\\$aValerius Flaccus: Argonautica (Loeb Classical Library No. 286) by Valerius Flaccus (1934),,\\$aLoeb,,\\$aYour library,00609     2200193 i 4500
65941632,MePoLT,20250518141059.0,\\$a0674995414,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6791 .V6 2000 v.1,\4$a937.02,"1\$aMaximus, Valerius.","10$aMemorable Doings and Sayings, Volume I: Books 1-5 (Loeb Classical Library).","\1$bLoeb Classical Library,$c2000.",\\$a560  p.,"\\$aMemorable Doings and Sayings, Volume I: Books 1-5 (Loeb Classical Library) by Valerius Maximus (2000)",,\\$aLoeb,,\\$aYour library,00589     2200193 i 4500
65941661,MePoLT,20250518141059.0,\\$a0674993683,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6792 .A3 1951 v.2,\4$a428,1\$aVarro.,"10$aVarro: On the Latin Language, Volume II, Books 8-10. Fragments. (Loeb Classical Library No. 334).","\1$bLoeb Classical Library,$c1938.",\\$a320  p.,"\\$aVarro: On the Latin Language, Volume II, Books 8-10. Fragments. (Loeb Classical Library No. 334) by Varro (1938)",,\\$aLoeb,,\\$aYour library,00607     2200193 i 4500
65941682,MePoLT,20250518141059.0,\\$a067499583X,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6807 .A2 2000 v.1,\4$a871.01,1\$aVirgil.,10$aEclogues. Georgics. Aeneid: Books 1-6 (Loeb Classical Library).,"\1$aLoeb Classical Library (1916), Edition$b Revised, Hardcover, 608 pages,$c1916.",\\$a608  p.,\\$aEclogues. Georgics. Aeneid: Books 1-6 (Loeb Classical Library) by Virgil (1916),,\\$aLoeb,,\\$aYour library,00592     2200193 i 4500
65941711,MePoLT,20250518141059.0,\\$a0674993098,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 6868 .A2 1934 v.2,\4$a809,1\$aVitruvius.,"10$aVitruvius: On Architecture, Volume II, Books 6-10 (Loeb Classical Library No. 280).","\1$bLoeb Classical Library,$c1934.",\\$a448  p.,"\\$aVitruvius: On Architecture, Volume II, Books 6-10 (Loeb Classical Library No. 280) by Vitruvius (1934)",,\\$aLoeb,,\\$aYour library,00587     2200193 i 4500
66114415,MePoLT,20250518141059.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3319 .A2 1932 v.1,,"1\$aHunt, Arthur S.; Edgar, C. C.",10$aSelect Papyri: Vol. I Private Affairs (Loeb Classical Library).,"\1$bHeinemann/ Putnam/ Harvard 1932,$c1934.",,"\\$aSelect Papyri: Vol. I Private Affairs (Loeb Classical Library) by Arthur S.; Edgar Hunt, C. C. (1934)",,\\$aLoeb,,\\$aYour library,00523     2200157 i 4500
66114435,MePoLT,20250518141059.0,\\$a0674993977,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3319 .A2 1932 v.3,\4$a089.81,"1\$aPage, D. L. (translator).","10$aSelect Papyri, Volume III (Loeb Classical Library No. 360).","\1$aLoeb Classical Library (1941), Edition$b Revised, Hardcover, 640 pages,$c1941.",\\$a640  p.,"\\$aSelect Papyri, Volume III (Loeb Classical Library No. 360) by D. L. (translator) Page (1941)",,\\$aLoeb,,\\$aYour library,00619     2200193 i 4500
66114660,MePoLT,20250518141100.0,\\$a0674993993,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3403 .M3 1939 v.2,\4$a938,"1\$aThomas, Ivor.","10$aGreek Mathematical Works: Volume II, From Aristarchus to Pappus. (Loeb Classical Library No. 362).","\1$bLoeb Classical Library,$c1941.",\\$a704  p.,"\\$aGreek Mathematical Works: Volume II, From Aristarchus to Pappus. (Loeb Classical Library No. 362) by Ivor Thomas (1941)",,\\$aLoeb,,\\$aYour library,00622     2200193 i 4500
66114797,MePoLT,20250518141100.0,\\$a0674991583,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3443 .C5 1988,\4$a884.0108,1\$aAnacreon.,"10$aGreek Lyric II: Anacreon, Anacreontea, Choral Lyric from Olympis to Alcman (Loeb Classical Library No. 143).","\1$bLoeb Classical Library,$c1988.",\\$a560  p.,"\\$aGreek Lyric II: Anacreon, Anacreontea, Choral Lyric from Olympis to Alcman (Loeb Classical Library No. 143) by Anacreon (1988)",,\\$aLoeb,,\\$aYour library,00636     2200193 i 4500
66114867,MePoLT,20250518141100.0,\\$a0674995597,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3443 .C5 1993,\4$a884.0108,"1\$aCampbell, David A.","10$aGreek Lyric, Volume V: The New School of Poetry and Anonymous Songs and Hymns (Loeb Classical Library No. 144).","\1$bLoeb Classical Library,$c1993.",\\$a496  p.,"\\$aGreek Lyric, Volume V: The New School of Poetry and Anonymous Songs and Hymns (Loeb Classical Library No. 144) by David A. Campbell (1993)",,\\$aLoeb,,\\$aYour library,00660     2200193 i 4500
66115004,MePoLT,20250518141100.0,\\$a0674990315,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3451 .E16 1928,\4$a881.01,1\$aTheocritus.,10$aGreek Bucolic Poets: Theocritus. Bion. Moschus (Loeb Classical Library No. 28).,"\1$aLoeb Classical Library (1912), Edition$b Revised, Hardcover, 560 pages,$c1912.",\\$a560  p.,\\$aGreek Bucolic Poets: Theocritus. Bion. Moschus (Loeb Classical Library No. 28) by Theocritus (1912),,\\$aLoeb,,\\$aYour library,00629     2200193 i 4500
66115058,MePoLT,20250518141100.0,,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3458 .A2 v.3,\4$a881.008,"1\$aPaton, W.R. trans.",10$aLoeb: The Greek Anthology III.,"\1$bHeinemann/Harvard,$c1968.",,\\$aLoeb: The Greek Anthology III by W.R. trans. Paton (1968),,\\$aLoeb,,\\$aYour library,00440     2200169 i 4500
66115088,MePoLT,20250518141100.0,\\$a043499085X,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3458 .A2 v.4,\4$a881.008,1\$aPaton.,10$aThe Greek Anthology. In Five Volumes. Vol. 4 of 5 : Loeb Classical Library..,"\1$bHeinemann,$c1918.",\\$a427  p.,\\$aThe Greek Anthology. In Five Volumes. Vol. 4 of 5 : Loeb Classical Library. by Paton (1918),,\\$aLoeb,,\\$aYour library,00551     2200193 i 4500
66115262,MePoLT,20250518141100.0,\\$a0674995821,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3623 .E44 G75 1999,\4$a881.0108,1\$aTyrtaeus.,10$aGreek Elegiac Poetry: From the Seventh to the Fifth Centuries B.C. (Loeb Classical Library No. 258).,"\1$bLoeb Classical Library,$c1999.",\\$a512  p.,\\$aGreek Elegiac Poetry: From the Seventh to the Fifth Centuries B.C. (Loeb Classical Library No. 258) by Tyrtaeus (1999),,\\$aLoeb,,\\$aYour library,00625     2200193 i 4500
66115304,MePoLT,20250518141100.0,\\$a0674995813,\\$aMePoLT$cMePoLT$erda,\4$aPA 3623 .E44 G74 1999,\4$a881.0108,1\$aArchilochus.,10$aGreek Iambic Poetry: From the Seventh to the Fifth Centuries B.C. (Loeb Classical Library No. 259).,"\1$aLoeb Classical Library (1999), Edition$b 2, Hardcover, 560 pages,$c1999.",\\$a560  p.,\\$aGreek Iambic Poetry: From the Seventh to the Fifth Centuries B.C. (Loeb Classical Library No. 259) by Archilochus (1999),,\\$aLoeb$aCHECK,,\\$aYour library,00673     2200193 i 4500
66115461,MePoLT,20250518141100.0,\\$a067499535X,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3821 .A4 1997,\4$a938,1\$aAelian.,10$aAelian: Historical Miscellany (Loeb Classical Library No. 486).,"\1$aLoeb Classical Library (1997), Edition$b annotated edition, Hardcover, 528 pages,$c1997.",\\$a528  p.,\\$aAelian: Historical Miscellany (Loeb Classical Library No. 486) by Aelian (1997),,\\$aLoeb,,\\$aYour library,00595     2200193 i 4500
66115486,MePoLT,20250518141100.0,\\$a0674991729,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3822 .A5 1923,\4$a355,"1\$aTacticus, Aeneas.","10$aAeneas Tacticus, Asclepiodotus, Onasander (Loeb Classical Library, No. 156).","\1$bLoeb Classical Library,$c1923.",\\$a544  p.,"\\$aAeneas Tacticus, Asclepiodotus, Onasander (Loeb Classical Library, No. 156) by Aeneas Tacticus (1923)",,\\$aLoeb,,\\$aYour library,00582     2200193 i 4500
66115548,MePoLT,20250518141100.0,\\$a0674996275,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3825 .A2 2008 v.1,\4$a808,1\$aAeschylus.,"10$aAeschylus, I, Persians. Seven against Thebes. Suppliants. Prometheus Bound (Loeb Classical Library).","\1$bLoeb Classical Library,$c2009.",\\$a624  p.,"\\$aAeschylus, I, Persians. Seven against Thebes. Suppliants. Prometheus Bound (Loeb Classical Library) by Aeschylus (2009)",,\\$aLoeb,,\\$aYour library,00621     2200193 i 4500
66115554,MePoLT,20250518141100.0,\\$a0674996283,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3825 .A2 2008 v.2,\4$a808,1\$aAeschylus.,"10$aAeschylus, II, Oresteia: Agamemnon. Libation-Bearers. Eumenides (Loeb Classical Library).","\1$bLoeb Classical Library,$c2009.",\\$a544  p.,"\\$aAeschylus, II, Oresteia: Agamemnon. Libation-Bearers. Eumenides (Loeb Classical Library) by Aeschylus (2009)",,\\$aLoeb,,\\$aYour library,00599     2200193 i 4500
66372805,MePoLT,20250518141101.0,\\$a0434990035,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3873 .A2 1912 v.2,\4$a937,1\$aAppian.,10$aRoman History: v. 2 (Loeb Classical Library).,"\1$bWilliam Heinemann Ltd,$c1912.",\\$a482  p.,\\$aRoman History: v. 2 (Loeb Classical Library) by Appian (1912),,\\$aLoeb,,\\$aYour library,00504     2200193 i 4500
66372895,MePoLT,20250518141109.0,\\$a0674991354,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3870 .A7 1921 v.1,\4$a398,1\$aApollodorus.,"10$aThe Library, Volume I: Books 1-3.9 (Loeb Classical Library).","\1$aLoeb Classical Library (1921), Edition$b 6, Hardcover, 464 pages,$c1921.",\\$a464  p.,"\\$aThe Library, Volume I: Books 1-3.9 (Loeb Classical Library) by Apollodorus (1921)",,\\$aLoeb,,\\$aYour library,00587     2200193 i 4500
66372902,MePoLT,20250518141109.0,\\$a0434991228,\\$aMePoLT$cMePoLT$erda,\4$aLOEB-PA 3870 .A7 1921 v.2,\4$a398,1\$aApollodorus.,10$aThe Library: v. 2 (Loeb Classical Library).,"\1$bWilliam Heinemann Ltd,$c1921.",\\$a551  p.,\\$aThe Library: v. 2 (Loeb Classical Library) by Apollodorus (1921),,\\$aLoeb,,\\$aYour library,00510     2200193 i 4500
