,001,003,005,020,040,090,092,100,245,264,300,520,590,920,921,923,LDR
1693,73229601,MePoLT,20250518141527.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6608 .B7 1970,,"1\$aBraun, Ludwig.",10$aDie Cantica des Plautus.,"\1$aG&ouml;ttingen$b Vandenhoeck &amp; Ruprecht, 1970.",\\$a210  p.,\\$aDie Cantica des Plautus by Ludwig Braun (1970),,,,\\$aYour library,00415     2200157 i 4500
1694,73229734,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6609 .Z8 L82 1971 V.1,,"1\$aLodge, Gonzalez.","10$aLexicon Plautinum: Volumen Primum, A-L, Vocabula Punica.","\1$aHildesheim/New York$b Georg Olms, 1971.",\\$aXVI; 917  p.,"\\$aLexicon Plautinum: Volumen Primum, A-L, Vocabula Punica by Gonzalez Lodge (1971)",,,,\\$aYour library,00489     2200157 i 4500
1695,73230111,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6611 .A2 1870 V.1,\4$a500,1\$aPliny the Elder.,"10$aC. Plini Secundi Naturalis Historiae libri XXXVII: Vol. I, Libb. I-VI.","\1$aLeipzig$b Teubner, 1870.",,"\\$aC. Plini Secundi Naturalis Historiae libri XXXVII: Vol. I, Libb. I-VI by Pliny the Elder (1870)",,,,\\$aYour library,00490     2200157 i 4500
1696,73230255,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6614 .C58 1991,,"1\$aCitroni Marchetti, Sandra.",10$aPlinio il Vecchio e la tradizione del moralismo romano.,"\1$aPisa$b Giardini, 1991.",\\$a308  p.,\\$aPlinio il Vecchio e la tradizione del moralismo romano by Sandra Citroni Marchetti (1991),,,,\\$aYour library,00478     2200157 i 4500
1697,73230296,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6637.Z8 S3 1857,,"1\$aSchneider, Otto.",10$aIn C. Plini Secundi Naturalis Historiae Libros Indices.,"\1$aHildesheim$b G. Olms, 1967.",\\$a515  p.,\\$aIn C. Plini Secundi Naturalis Historiae Libros Indices by Otto Schneider (1967),,,,\\$aYour library,00464     2200157 i 4500
1698,73297903,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6638 .A2 1908,,1\$aPliny the Younger.,10$aC. Plini Caecili Secundi Epistularum libri novem; Epistularum ad Trajanum liber; Panegyricus.,"\1$aLeipzig$b Teubner, 1908",\\$aIX; 415  p.,\\$aC. Plini Caecili Secundi Epistularum libri novem; Epistularum ad Trajanum liber; Panegyricus by Pliny the Younger (1908),,,,\\$aYour library,00543     2200157 i 4500
1699,73297976,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6638 .A2 1922,\4$aD0504247779,1\$aPliny the Younger.,10$aC. Plini Caecili Secundi Epistularum libri decem.,"\1$aLeipzig$b Teubner, 1922.",\\$axxiv; 315  p.,\\$aC. Plini Caecili Secundi Epistularum libri decem by Pliny the Younger (1922),,,,\\$aYour library,00486     2200169 i 4500
1700,73298256,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6638 .A4 W76 1898,,1\$aPliny the Younger.,10$aC. Plini Secundi Epistulae Selectae: Selected Letters of Pliny.,"\1$aBoston/New York/Chicago$b Allyn and Bacon, 1898.",\\$axli; 285  p.,\\$aC. Plini Secundi Epistulae Selectae: Selected Letters of Pliny by Pliny the Younger (1898),,,,\\$aYour library,00513     2200157 i 4500
1701,73298318,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6638 .A4 S58 1967,\4$a876.01,1\$aPliny the Younger.,10$aFifty Letters of Pliny.,"\1$aLondon$b Oxford University Press, 1967.",\\$axxii; 185  p.,\\$aFifty Letters of Pliny by Pliny the Younger (1967),,,,\\$aYour library,00448     2200169 i 4500
1702,73298336,MePoLT,20250518141528.0,\\$a3598777396,\\$aMePoLT$cMePoLT$erda,\4$aPA 6640 .P55x 2003,\4$a876.01,"1\$aCastagna, Luigi.",10$aPlinius der Ju&#776;ngere und seine Zeit.,"\1$aMunich$b K.G. Saur, 2003.",\\$a344  p.,\\$aPlinius der Ju&#776;ngere und seine Zeit by Luigi Castagna (2003),,,,\\$aYour library,00476     2200181 i 4500
1703,73298455,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .A2 1901,\4$a874.01,"1\$aPropertius, Sextus.",10$aSexti Properti Carmina.,"\1$aOxford$b Clarendon Press, 1901.",,\\$aSexti Properti Carmina by Sextus Propertius (1901),,,,\\$aYour library,00407     2200157 i 4500
1704,73298581,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .A2 1953,\4$a874.01,"1\$aPropertius, Sextus.",10$aSex. Propertii Elegiarum libri IV.,"\1$aLeipzig$b Teubner, 1958.",\\$a252  p.,\\$aSex. Propertii Elegiarum libri IV by Sextus Propertius (1958),,,,\\$aYour library,00446     2200169 i 4500
1705,73298652,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .A2 1957,\4$a874.01,"1\$aPropertius, Sextus.",10$aSexti Properti Properti Carmina.,"\1$aOxford$b Clarendon Press, 1953.",\\$aVIII; 180  p.,\\$aSexti Properti Properti Carmina by Sextus Propertius (1953),,,,\\$aYour library,00455     2200169 i 4500
1706,73298752,MePoLT,20250518141528.0,\\$a3519017393,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .A2 1984,\4$a874.01,"1\$aPropertius, Sextus.",10$aSexti Properti Elegiarum libri IV.,"\1$aStuttgart$b Teubner, 1984.",\\$axxxv; 352  p.,\\$aSexti Properti Elegiarum libri IV by Sextus Propertius (1984),,,,\\$aYour library,00481     2200181 i 4500
1707,73299113,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6638 .A2 1963,\4$a876,1\$aPliny the Younger.,10$aC. Plini Caecili Secundi Epistularum libri decem.,"\1$aOxford$b Clarendon Press, 1963.",\\$aXI; 399  p.,\\$aC. Plini Caecili Secundi Epistularum libri decem by Pliny the Younger (1963),,,,\\$aYour library,00483     2200169 i 4500
1708,73299315,MePoLT,20250518141528.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .B1 E5 1946 V.1,\4$a874.01,"1\$aPropertius, Sextus.","10$aSex. Propertii Elegiarum liber 1 (Monobiblos): Pars Prior, Prolegomena et Textum continens.","\1$aLeiden$b Brill, 1946.",,"\\$aSex. Propertii Elegiarum liber 1 (Monobiblos): Pars Prior, Prolegomena et Textum continens by Sextus Propertius (1946)",,,,\\$aYour library,00540     2200157 i 4500
1709,73299496,MePoLT,20250518141529.0,\\$a052106001X,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .B2 C5 1966,\4$a874.01,"1\$aPropertius, Sextus.",10$aElegies: Book II.,"\1$aCambridge$b Cambridge University Press, 1966.",,\\$aElegies: Book II by Sextus Propertius (1966),,,,\\$aYour library,00439     2200169 i 4500
1710,73299527,MePoLT,20250518141529.0,\\$a0521060028,\\$aMePoLT$cMePoLT$erda,\4$aPA 6644 .B3 C5 1966,\4$a874.01,"1\$aPropertius, Sextus.",10$aElegies: Book III.,"\1$aCambridge$b Cambridge University Press, 1966.",\\$a180  p.,\\$aElegies: Book III by Sextus Propertius (1966),,,,\\$aYour library,00465     2200181 i 4500
1711,73299790,MePoLT,20250518141529.0,\\$a3534046366,\\$aMePoLT$cMePoLT$erda,\4$aPA 6646 .E38 1975,\4$a874/.01,"1\$aEisenhut, Werner.",10$aProperz.,"\1$aDarmstadt$b Wissenschaftliche Buchgesellschaft, 1975.",\\$axviii; 314  p.,\\$aProperz by Werner Eisenhut (1975),,,,\\$aYour library,00455     2200181 i 4500
1712,73806133,MePoLT,20250518141529.0,\\$a3598778023,\\$aMePoLT$cMePoLT$erda,\4$aPA 6675 .H66 2004,\4$a188,"1\$aH&ouml;nscheid, Christoph.","10$aFomenta Campaniae: ein Kommentar zu Senecas 51., 55. und 56. Brief.","\1$aMunich/Leipzig$b K.G. Saur, 2004.",,"\\$aFomenta Campaniae: ein Kommentar zu Senecas 51., 55. und 56. Brief by Christoph H&ouml;nscheid (2004)",,,,\\$aYour library,00528     2200169 i 4500
1713,73806240,MePoLT,20250518141529.0,\\$a3598777221,\\$aMePoLT$cMePoLT$erda,\4$aPA 6686 .Z65 2003,\4$a880.9,"1\$aZ&ouml;ller, Rainer.",10$aDie Vorstellung vom Willen in der Morallehre Senecas.,"\1$aLeipzig$b K.G. Saur, 2003.",\\$a273  p.,\\$aDie Vorstellung vom Willen in der Morallehre Senecas by Rainer Z&ouml;ller (2003),,,,\\$aYour library,00507     2200181 i 4500
1714,73806334,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6695 .A2 1890,\4$a873.01,"1\$aSilius Italicus, Tiberius Catius.","10$aSili Italici Punica: Volumen Primus, Libros I-X continens; Volumen Alterum, Libros XI-XVII continens.","\1$aLeipzig$b Teubner, 1890-92.",,"\\$aSili Italici Punica: Volumen Primus, Libros I-X continens; Volumen Alterum, Libros XI-XVII continens by Tiberius Catius Silius Italicus (1890-92)",,,,\\$aYour library,00590     2200157 i 4500
1715,73806559,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6696 .S5 1895,\4$a878.01,1\$aIulius Solinus.,10$aC. Iulii Solini Collectanea Rerum Memorabilium.,"\1$aBerlin$b Weidmann, 1895.",,\\$aC. Iulii Solini Collectanea Rerum Memorabilium by Iulius Solinus (1895),,,,\\$aYour library,00441     2200157 i 4500
1716,73806618,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .A2 1876 V.1,\4$a871.01,"1\$aStatius, P. Papinius.","10$aP. Papinius Statius: Vol. I, Siluae.","\1$aLeipzig$b Teubner, 1876.",\\$axx; 157  p.,"\\$aP. Papinius Statius: Vol. I, Siluae by P. Papinius Statius (1876)",,,,\\$aYour library,00462     2200169 i 4500
1717,73806756,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .A3 V67 1898,\4$a871.01,"1\$aStatius, P. Papinius.",10$aP. Papini Stati Silvarum libri.,"\1$aLeipzig$b Teubner, 1898.",\\$axvi; 598  p.,\\$aP. Papini Stati Silvarum libri by P. Papinius Statius (1898),,,,\\$aYour library,00453     2200169 i 4500
1718,73806864,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .A2 1905 V.2,\4$a871.01,"1\$aStatius, P. Papinius.",10$aP. Papini Stati Thebais et Achilleis.,"\1$aOxford$b Clarendon Press, 1906.",\\$aiv  p.,\\$aP. Papini Stati Thebais et Achilleis by P. Papinius Statius (1906),,,,\\$aYour library,00466     2200169 i 4500
1719,73807002,MePoLT,20250518141529.0,\\$a0198146833,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .A2 1990,\4$a871.01,"1\$aStatius, Publius Papinius.",10$aP. Papini Stati Silvae.,"\1$aOxford$b Clarendon Press, 1990.",\\$aXXXVII; 161  p.,\\$aP. Papini Stati Silvae by Publius Papinius Statius (1990),,,,\\$aYour library,00480     2200181 i 4500
1720,73807138,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .A5 D4 1954,\4$a873.5,"1\$aStatius, P. Papinius.",10$aAchilleid.,"\1$aCambridge$b Cambridge University Press, 1954.",\\$avii; 161  p.,\\$aAchilleid by P. Papinius Statius (1954),,,,\\$aYour library,00430     2200169 i 4500
1721,73807171,MePoLT,20250518141529.0,\\$a052180891X,\\$aMePoLT$cMePoLT$erda,\4$aPA 6698 .N38 2002,\4$a871.01,"1\$aNewlands, Carole Elizabeth.",10$aStatius' Silvae and the Poetics of Empire.,"\1$aCambridge$b Cambridge University Press, 2002.",\\$a356  p.,"\\$aStatius' ""Silvae"" and the poetics of Empire by Carole Elizabeth Newlands (2002)",,,,\\$aYour library,00529     2200181 i 4500
1722,73807538,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6697 .E5 S5 2003,,"1\$aStatius, P. Papinius.",10$aStatius.,,,\\$aStatius by P. Papinius Statius (2003),,\\$amissing,,\\$aYour library,00337     2200145 i 4500
1723,73865170,MePoLT,20250518141529.0,\\$a0906515556,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A32 C3 1982,\4$a937.07,1\$aSuetonius.,10$aDivus Augustus.,"\1$aBristol$b Bristol Classical Press, 1982.",\\$aix; 225  p.,\\$aDivus Augustus by Suetonius (1982),,,,\\$aYour library,00442     2200181 i 4500
1724,73865260,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A32 S24 1896,\4$a937.07,1\$aSuetonius.,10$aDivus Augustus.,"\1$aCambridge$b Cambridge University Press, 1984.",\\$axliv; 215  p.,\\$aDivus Augustus by Suetonius (1896),,,,\\$aYour library,00423     2200169 i 4500
1725,73865350,MePoLT,20250518141529.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A36 W67 1977,\4$a937.07092,1\$aSuetonius.,10$aNero.,"\1$aBristol$b Bristol Classical Press, 1977.",\\$a118  p.,\\$aNero by Suetonius (1977),,,,\\$aYour library,00395     2200169 i 4500
1726,73865428,MePoLT,20250518141530.0,\\$a1853991201,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A37 M52 1992,\4$a937.0072,"1\$aMurison, Charles L.","10$aSuetonius: Galba, Otho, Vitellius.","\1$aBristol$b Bristol Classical Press, 1992.",\\$a208  p.,"\\$aSuetonius: Galba, Otho, Vitellius by Charles L. Murison (1992)",,,,\\$aYour library,00497     2200181 i 4500
1727,73865506,MePoLT,20250518141530.0,\\$a0856685372,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A3 1993,\4$a937,"1\$aShotter, D.C.A.","10$aSuetonius: Lives of Galba, Otho and Vitellius.","\1$aWarminster$b Aris &amp; Phillips, 1993.",\\$a224  p.,"\\$aSuetonius: Lives of Galba, Otho and Vitellius by D.C.A. Shotter (1993)",,,,\\$aYour library,00502     2200181 i 4500
1728,73865746,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A38 1927,\4$a937.06092,1\$aSuetonius.,10$aDivus Vespasianus with an Introduction and Commentary.,"\1$aOxford$b Clarendon Press, 1927.",,\\$aDivus Vespasianus with an Introduction and Commentary by Suetonius (1927),,,,\\$aYour library,00456     2200157 i 4500
1729,73865833,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .A38 G6 1922,\4$a937.07092,1\$aSuetonius.,10$aC. Suetonii Tranquilli Vita Domitiani: Suetonius's Life of Domitian with notes and parallel passages.,"\1$aPhiladelphia$b University of Philadelphia, 1922.",\\$a120  p.,\\$aC. Suetonii Tranquilli Vita Domitiani. Suetonius's Life of Domitian with notes and parallel passages by Suetonius (1922),,,,\\$aYour library,00594     2200169 i 4500
1730,73865888,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .D3 1963,\4$a470.092,"1\$aSuetonius Tranquillus, Gaius.",10$a1: De grammaticis et rhetoribus.,"\1$aLeipzig$b Teubner, 1963.",,\\$a1: De grammaticis et rhetoribus by Gaius Suetonius Tranquillus (1963),,,,\\$aYour library,00439     2200157 i 4500
1731,73865915,MePoLT,20250518141530.0,\\$a155540720X,\\$aMePoLT$cMePoLT$erda,\4$aPA 6700 .D9 K37 1992,\4$a470/.92/2B,"1\$aKaster, Robert A.",10$aStudies on the text of Suetonius De grammaticis et rhetoribus.,"\1$aAtlanta$b Scholars Press, c1992.",\\$aix; 164  p.,\\$aStudies on the text of Suetonius De grammaticis et rhetoribus by Robert A. Kaster (1992),,,,\\$aYour library,00546     2200181 i 4500
1732,73866033,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6704 .S7 1883 V.1,,"1\$aSymmachus, Quintus Aurelius.",10$aQ. Aurelii Symmachi quae supersunt: Vol. I.,"\1$aBerlin$b Weidmann, 1883.",\\$aCCXI  p.,\\$aQ. Aurelii Symmachi quae supersunt: Vol. I by Quintus Aurelius Symmachus (1883),,,,\\$aYour library,00464     2200157 i 4500
1733,73866241,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aDG 6705 .A2 1899,\4$a973,"1\$aTacitus, Cornelius.",10$aCornelii Taciti : Annalium ab excessu divi Augusti libri.,"\1$aOxonii $b E Typographeo Clarendoniano, [1899].",\\$a4  p.,\\$aCornelii Taciti : Annalium ab excessu divi Augusti libri by Cornelius Tacitus (1899),,\\$a2 copies,,\\$aYour library,00534     2200181 i 4500
1734,73866327,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .A2 1899 V.1,\4$a937,1\$aCornelius Tacitus.,10$aCornelii Taciti Annalium Ab Excessu Divi Augusti libri.,"\1$aOxford$b Clarendon Press, 1906.",,\\$aCornelii Taciti Annalium Ab Excessu Divi Augusti libri by Cornelius Tacitus (1906),,,,\\$aYour library,00471     2200157 i 4500
1735,73866805,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .A5 F8 1872 V.1,\4$a937.07,1\$aCornelius Tacitus.,10$aThe Annals of Tacitus: With a Commentary.,"\1$aLondon$b Whittaker &amp; co., 1872.",\\$axxxi; 485  p.,\\$aThe Annals of Tacitus: With a Commentary by Cornelius Tacitus (1872),,,,\\$aYour library,00483     2200169 i 4500
1736,73866870,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .A5 F6 1896 V.2,\4$a937.07,1\$aCornelius Tacitus.,"10$aThe Annals of Tacitus: Vol. II, Books XI-XVI.","\1$aOxford$b Clarendon Press, 1896.",,"\\$aThe Annals of Tacitus: Vol. II, Books XI-XVI by Cornelius Tacitus (1896)",,,,\\$aYour library,00457     2200157 i 4500
1737,73866981,MePoLT,20250518141530.0,\\$a0521085845,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .A5 G8 1972 V.1,\4$a937/.0072/024,1\$aCornelius Tacitus.,"10$aThe Annals of Tacitus: Vol. I, Annals 1.1-54.",,,"\\$aThe Annals of Tacitus: Vol. I, Annals 1.1-54 by Cornelius Tacitus (1972)",,,,\\$aYour library,00443     2200157 i 4500
1738,73867282,MePoLT,20250518141530.0,\\$a0521570727,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .H6 B1 2003,\4$a937.05,1\$aCornelius Tacitus.,10$aHistories: Book I.,"\1$aCambridge$b Cambridge University Press, 2003.",\\$axiii; 324  p.,\\$aHistories: Book I by Cornelius Tacitus (2003),,,,\\$aYour library,00470     2200181 i 4500
1739,73867388,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .H5 H24 1885 V.1,\4$a937,1\$aCornelius Tacitus.,"10$aHistoriarum libri qui supersunt: Erster Band, Buch I und II; Zweiter Band, Buch III-V.","\1$aLeipzig$b Teubner, 1884-5.",,"\\$aHistoriarum libri qui supersunt: Erster Band, Buch I und II; Zweiter Band, Buch III-V by Cornelius Tacitus (1884-5)",,,,\\$aYour library,00534     2200157 i 4500
1740,73867548,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .H5 G5 1887 V.1,\4$a878.6,1\$aCornelius Tacitus.,"10$aThe Histories of Tacitus: Books I and II, with Introduction and Notes.","\1$aLondon$b Macmillan, 1887.",\\$a249  p.,"\\$aThe Histories of Tacitus: Books I and II, with Introduction and Notes by Cornelius Tacitus (1887)",,,,\\$aYour library,00524     2200169 i 4500
1741,73867575,MePoLT,20250518141530.0,\\$a0198148526,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .H7 B4 C5 1985,\4$a937/.07,"1\$aChilver, Guy Edward Farquhar.",10$aA Historical Commentary on Tacitus' Histories IV and V.,"\1$aOxford$b Clarendon Press, 1985.",\\$axii; 110  p.,\\$aA Historical Commentary on Tacitus' Histories IV and V by Guy Edward Farquhar Chilver (1985),,,,\\$aYour library,00554     2200181 i 4500
1742,73867608,MePoLT,20250518141530.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6706 .A3 F6 1897,\4$a936.104092,1\$aCornelius Tacitus.,10$aCornelii Taciti Vita Agricolae.,,\\$axii; 176  p.,\\$aCornelii Taciti Vita Agricolae by Cornelius Tacitus (1898),,\\$amissing,,\\$aYour library,00434     2200169 i 4500
1743,73867653,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6706 .A3 G9 1928,\4$a936,1\$aCornelius Tacitus.,"10$aTacitus: De Vita Iulii Agricolae and De Germania, with Introduction, Notes, Appendices, and Index.","\1$aBoston$b Allyn and Bacon, 1928",\\$a409  p.,"\\$aTacitus: De Vita Iulii Agricolae and De Germania, with Introduction, Notes, Appendices, and Index by Cornelius Tacitus (1928)",,,,\\$aYour library,00579     2200169 i 4500
1744,73868216,MePoLT,20250518141532.0,\\$a0198148305,\\$aMePoLT$cMePoLT$erda,\4$aPA 6705 .H7 B1 C5 1979,\4$a937/.07,"1\$aChilver, Guy Edward Farquhar.",10$aA Historical Commentary on Tacitus' Histories I and II.,"\1$aOxford$b Clarendon Press, 1979.",\\$aX; 280  p.,\\$aA Historical Commentary on Tacitus' Histories I and II by Guy Edward Farquhar Chilver (1979),,,,\\$aYour library,00552     2200181 i 4500
1745,73868453,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6706 .D5 G7 1898,,1\$aCornelius Tacitus.,10$aTacitus Dialogus De Oratoribus: With Introduction and Notes.,"\1$aBoston$b Allyn and Bacon, 1898.",,\\$aTacitus Dialogus De Oratoribus: With Introduction and Notes by Cornelius Tacitus (1898),,,,\\$aYour library,00460     2200145 i 4500
1746,73868489,MePoLT,20250518141532.0,\\$a071342723X,\\$aMePoLT$cMePoLT$erda,\4$aPA 6716 .M37 1981,\4$a937/.0072024,"1\$aMartin, Ronald.",10$aTacitus.,"\1$aBerkeley/Los Angeles$b University of California Press, 1981.",\\$a288  p.,\\$aTacitus by Ronald Martin (1981),,,,\\$aYour library,00456     2200181 i 4500
1747,73868693,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6706 .A3 C3 1893,\4$a936,1\$aCornelius Tacitus.,"10$aThe Agricola and Germania of Tacitus, with a Revised Text, English Notes, and Map.","\1$aLondon$b Macmillan, 1893.",,"\\$aThe Agricola and Germania of Tacitus, with a Revised Text, English Notes, and Map by Cornelius Tacitus (1893)",,,,\\$aYour library,00518     2200157 i 4500
1748,73868722,MePoLT,20250518141532.0,\\$a0198143583,\\$aMePoLT$cMePoLT$erda,\4$aPA 6716 .S94 1970,\4$a878/.01/08,"1\$aSyme, Ronald.",10$aTen Studies in Tacitus.,"\1$aOxford$b Clarendon Press, 1970.",\\$a152  p.,\\$aTen Studies in Tacitus by Ronald Syme (1970),,,,\\$aYour library,00451     2200181 i 4500
1749,73868808,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6719 .G12.1970,\4$a937/.07,"1\$aGoodyear, Francis Richard David.",10$aTacitus.,"\1$aOxford$b Clarendon Press, 1970.",\\$a44  p.,\\$aTacitus by Francis Richard David Goodyear (1970),,,,\\$aYour library,00428     2200169 i 4500
1750,73868901,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .A2 1926,\4$a872.01,1\$aTerence.,10$aComoediae.,"\1$aOxford$b Clarendon Press, 1926.",,\\$aComoediae by Terence (1926),,,,\\$aYour library,00360     2200157 i 4500
1751,73868964,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .A2 1958,,1\$aTerence.,10$aP. Terenti Afri Comoediae.,"\1$aOxford$b Clarendon Press, 1958.",\\$a350  p.,\\$aP. Terenti Afri Comoediae by Terence (1958),,,,\\$aYour library,00393     2200157 i 4500
1752,73869163,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .A2 1947 V.1,\4$a872.01,1\$aTerence.,"10$aT&eacute;rence: Tome I, Andrienne, Eunuque.","\1$aParis$b Les Belles Lettres, 1947.",,"\\$aT&eacute;rence: Tome I, Andrienne, Eunuque by Terence (1947)",,,,\\$aYour library,00420     2200157 i 4500
1753,73869301,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .A6 S57 1914,\4$a872.01,1\$aTerence.,10$aP. Terenti Afri Andria.,"\1$aNew York/Cincinnati/Chicago$b American Book Company, 1914.",\\$a188  p.,\\$aP. Terenti Afri Andria by Terence (1914),,,,\\$aYour library,00441     2200169 i 4500
1754,73869377,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .A5 A6 1893,\4$a872.01,1\$aTerence.,"10$aThe Adelphoe of Terence: With Introduction, Notes, and Critical Appendix.","\1$aLondon$b Macmillan, 1893.",\\$alxviii; 208  p.,"\\$aThe Adelphoe of Terence: With Introduction, Notes, and Critical Appendix by Terence (1893)",,,,\\$aYour library,00515     2200169 i 4500
1755,73869488,MePoLT,20250518141532.0,\\$a0521452295,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .E8 T48 1998,\4$a872/.01$221,1\$aTerence.,10$aEunuchus.,"\1$aCambridge$b Cambridge University Press, 1999.",\\$aviii; 336  p.,\\$aEunuchus by Terence (1999),,,,\\$aYour library,00438     2200181 i 4500
1756,73869698,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6755 .P5 S60 1890,\4$a872.01,1\$aTerence.,10$aP. Terenti Phormio: With Notes and Introductions Intended for the Higher Forms of Public Schools.,"\1$aOxford$b Clarendon Press, 1887.",\\$a176  p.,\\$aP. Terenti Phormio: With Notes and Introductions Intended for the Higher Forms of Public Schools by Terence (1887),,,,\\$aYour library,00562     2200169 i 4500
1757,73870011,MePoLT,20250518141532.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6766 .D7 B3 1908,,"1\$aBasore, John William.",10$aThe Scholia on Hypokrisis in the Commentary of Donatus.,"\1$aBaltimore$b J.H. Furst, 1908.",\\$a85  p.,\\$aThe Scholia on Hypokrisis in the Commentary of Donatus by John William Basore (1908),,,,\\$aYour library,00476     2200157 i 4500
1758,73870042,MePoLT,20250518141532.0,\\$a0802025749,\\$aMePoLT$cMePoLT$erda,\4$aPA 6768 .G73 1986,\4$a872/.01,"1\$aGrant, John N.",10$aStudies in the Textual Tradition of Terence.,"\1$aToronto/Buffalo/London$b University of Toronto Press, 1986.",\\$axiv; 252  p.,\\$aStudies in the Textual Tradition of Terence by John N. Grant (1986),,,,\\$aYour library,00526     2200181 i 4500
1759,73870237,MePoLT,20250518141533.0,,\\$aMePoLT$cMePoLT$erda,\4$aPA 6785 .A5 J4 1932,\4$a872.5,"1\$aJenkins, Edgar B.",10$aIndex Verborum Terentianus.,"\1$aHildesheim$b Georg Olms, 1962.",\\$aix; 187  p.,\\$aIndex Verborum Terentianus by Edgar B. Jenkins (1932),,,,\\$aYour library,00441     2200169 i 4500
