008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Bates, Daisy, 1859-1951.",The Passing of the Aborigines [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400661.txt,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Battye, J. S. (James Sykes), 1871-1954.",A History of Western Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500301h.html,00341nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Baynton, Barbara, 1857-1929.",Bush Studies [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100141.txt,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Baynton, Barbara, 1857-1929.",Human Toll [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607531h.html,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",Short Stories [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200641.txt,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",Pacific Tales [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500671h.html,00308nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Becke, Louis, 1855-1913.",The Mutineer [electronic resource] : a Romance of Pitcairn Island.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606911h.html,00339nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Blaxland, Gregory, 1778-1853.","The Journal of Gregory Blaxland, 1813 [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200411h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",The Miner's Right [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607091h.html,00316nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",A Romance of Canvas Town And Other Stories [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607131h.html,00341nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Boldrewood, Rolf, 1826-1915.",A Sydney-Side Saxon [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607291h.html,00318nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Burfitt, C. T., -1927.","The Discovery of Tasmania (Van Diemen's Land.), New Zealand, and Bass' Straits. [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600541h.html,00372nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Burney, James, 1750-1821.",A Chronological History of the Voyages and Discoveries in the South Sea [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600611h.html,00367nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Calvert, Albert F. (Albert Frederick), 1872-1946.",The Aborigines of Western Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607061h.html,00356nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cambridge, Ada, 1844-1926.",At Midnight [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200651.txt,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cambridge, Ada, 1844-1926.",The Perversity of Human Nature [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607101h.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Carron, William, 1823-1876.",Narrative of an Expedition (Kennedy) [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0201121.txt,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",Australian Tales [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400711.txt,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",Human Repetends [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0601221h.html,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",The Haunted Author [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602401h.html,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",Four Stories High [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602671.txt,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",Long Odds [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602681.txt,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Clarke, Marcus, 1846-1881.",Old tales of a Young Country [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602691.txt,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Collingridge, George, 1847-1931.",The First Discovery of Australia and New Guinea [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501051h.html,00350nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Collingridge, George, 1847-1931.",The Discovery of Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0605401h.html,00329nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cox, Erle, 1873-1950.",Out of the Silence [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0604821h.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cumpston, J. H. L. (John Howard Lidgett), 1880-1954.",Charles Sturt [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks07/0700391h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Cumpston, J. H. L. (John Howard Lidgett), 1880-1954.",Thomas Mitchell [electronic resource] : Surveyor General and Explorer.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks07/0700531h.html,00372nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dalrymple, Alexander, 1737-1808.",An Historical Collection of the Several Voyages and Discoveries in the South Pacific Ocean [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600621h.html,00393nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dampier, William, 1652-1715.",A New Voyage round the World [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500461h.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Doreen [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500691.txt,00318nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Backblock Ballads and Later Verses [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500911.txt,00346nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",The Moods of Ginger Mick [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500921.txt,00336nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Jim of The Hills [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500931.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Rose of Spadgers [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500941.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",Rhymes from the Mines [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500971.txt,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",The Golden Shanty [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500981.txt,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",Below and on Top and Other Stories [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501011.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",Benno and Some of the Push [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501021.txt,00320nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",Fact'ry 'Ands [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501031.txt,00307nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Ellis, Havelock, 1859-1939.",Kanga Creek [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0300801.txt,00307nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Favenc, Ernest, 1845-1908.",The History of Australian Exploration [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0300101.txt,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Favenc, Ernest, 1845-1908.",Tales of the Austral Tropics [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600691h.html,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Favenc, Ernest, 1845-1908.",The Moccasins of Silence [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607071h.html,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aFortune, Mary, b. 1833?",The White Maniac - A Doctor's Tale [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602781h.html,00329nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aFortune, Mary, b. 1833?",My Lodger [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602791h.html,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aFortune, Mary, b. 1833?",Traces of Crime [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602801h.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Fowles, Joseph, 1810-1878.",Sydney in 1848 [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600151h.html,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aFranklin, John, Sir, 1786-1847.",Some Passages in the History of Van Diemen's Land [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500101.txt,00351nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Furphy, Joseph, 1843-1912.",The Buln-Buln and the Brolga [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606841h.html,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Furphy, Joseph, 1843-1912.",Rigby's Romance [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607461h.html,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gaunt, Mary, 1861-1942.",Kirkham's Find [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200581.txt,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gaunt, Mary, 1861-1942.",End of the Earth [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200591.txt,00308nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gaunt, Mary, 1861-1942.",The Doctor's Drive [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606941h.html,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Gaunt, Mary, 1861-1942.",Dave's Sweetheart [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607451h.html,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Grey, Zane, 1872-1939.",An American Angler in Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0608241h.html,00324nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Grey, Zane, 1872-1939.","Tales of the Angler's El Dorado, New Zealand [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0608281h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hay, William, 1875-1945.",The Escape of the Notorious Sir William Heans [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200281.txt,00338nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Heeres, J. E. (Jan Ernst).","The Part borne by the Dutch in the Discovery of Australia, 1606-1765 [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0501231h.html,00365nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Heeres, J. E. (Jan Ernst).",Abel Janszoon Tasman's Journal [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600571h.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Henning, Rachel, 1826-1914.",The Letters of Rachel Henning [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607821.txt,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hogan, James Francis, 1855-1924.",The Irish in Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500661.txt,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hume, Fergus, 1859-1932.",The Crowned Skull [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200401.txt,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hume, Fergus, 1859-1932.",The Mystery Queen [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200721.txt,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hume, Fergus, 1859-1932.",Hagar of the Pawn-Shop [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606101h.html,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Hume, Hamilton, 1797-1873.",Journey of Discovery to Port Phillip [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400371h.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Jack, Robert L. (Robert Logan), 1845-1921.",Northmost Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0601141h.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Jack, Robert L. (Robert Logan), 1845-1921.",The Exploration of Cape York Peninsula 1606-1915 [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0609341.txt,00360nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kelly, Ned, 1854-1880.",The Jerilderie Letter [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400761.txt,00312nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kingsley, Henry, 1830-1876.",Stretton [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603191h.html,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kingsley, Henry, 1830-1876.",The Hillyars and the Burtons [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607471h.html,00326nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Kirmess, C. H.",The Australian Crisis [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607161h.html,00305nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lang, John, 1817-1864.","Botany Bay, True Tales of Early Australia [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607441h.html,00334nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Gilbert H.",A Dictionary of Australian Words and Terms [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600101.txt,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.","My Army, O, My Army! and Other Songs [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607121h.html,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",The Romance of the Swag [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607191h.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Send Round the Hat [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607411h.html,00314nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Skyline Riders and Other Verses [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607541h.html,00327nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Verses Popular and Humorous [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607601h.html,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",When I was King and Other Verses [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607611h.html,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",The Rising of the Court [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607831.txt,00317nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",For Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607901h.html,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Henry, 1867-1922.",Short Stories in Prose and Verse [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607911.txt,00326nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lawson, Louisa, 1848-1920.",Selected Lead Articles from The Dawn [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606891h.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Leakey, Caroline W. (Caroline Woolmer), 1827-1881.",Broad Arrow [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606881h.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lee, Ida, 1865-1943.",Early Explorers in Australia [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301141h.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lee, Ida, 1865-1943.",The First Sighting of Australia by the English [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0609031h.html,00337nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lightoller, C. H.",Titanic and Other Ships [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301011h.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lower, Lennie, 1903-1947.",Here's Luck [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100081.txt,00305nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lower, Lennie, 1903-1947.",Here's Another [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100301.txt,00308nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Lower, Lennie, 1903-1947.",The Bachelors' Guide to the Care of the Young [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600391.txt,00339nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Major, Richard Henry, 1818-1891.","Early Voyages to Terra Australis, now called Australia [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600361h.html,00357nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Manning, Frederic, 1882-1935.",The Middle Parts of Fortune [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200261.txt,00325nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Watson, H. B. Marriott (Henry Brereton Marriott), 1863-1921.",The Devil of the Marsh [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602421h.html,00354nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Watson, H. B. Marriott (Henry Brereton Marriott), 1863-1921.",The Stone Chamber [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602431h.html,00349nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aMartin, Patchett, Mrs.",Coo-ee [electronic resource] : tales of Australian Life by Australian Ladies / Harriet Anne Martin.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607561h.html,00372nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"McCombie, Thomas, 1819-1869.",Adventures of a Colonist [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606871h.html,00323nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"McLaren, Jack, 1887-1954.",My Crowded Solitude [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0605611h.html,00315nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Mills, Ethel.",A Box of Dead Roses [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606861h.html,00302nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Moran, Patrick F., 1830-1911.",Discovery of Australia by de Quiros in the Year 1606 [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0600641h.html,00352nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aMorrison, G. E. (George Ernest), 1862-1920.",An Australian in China [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500681h.html,00338nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Nicholson, Evelyn Louise, c.1867-1927.","Diary of a trip to Australia, 1897 [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607521h.html,00343nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"O'Brien, John, 1878-1952.",Around The Boree Log and Other Verses [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks05/0500051.txt,00331nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"O'Reilly, John Boyle, 1844-1890.",Moondyne [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0602651h.html,00311nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Parker, Gilbert, 1862-1932.",The Power and the Glory [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400251h.html,00321nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",The Animals Noah Forgot [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603441h.html,00338nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Happy Dispatches [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603451h.html,00331nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",The Shearer's Colt [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0603461h.html,00333nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Collected Prose [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607731h.html,00330nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Paterson, A. B. (Andrew Barton), 1864-1941.",Collected Poetry [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607741h.html,00331nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Peck, C. W. (Charles William).",Australian Legends [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607141h.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Pelloe, Emily H.",West Australian Orchids [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks04/0400681h.html,00309nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Penton, Brian, 1904-1951.",Landtakers [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks02/0200851h.html,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Penton, Brian, 1904-1951.",Inheritors [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks03/0301271h.html,00306nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.",The Insane Root [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0606311h.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.","Australian Life, Black and White [electronic resource].",An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607211h.html,00336nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.",Fugitive Anne [electronic resource] : a Romance of the Unexplored Bush.,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607221h.html,00353nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.",Policy and Passion [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607231h.html,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Praed, Campbell, Mrs, 1851-1935.",The Romance of a Station [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks06/0607241h.html,00328nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Richardson, Henry Handel, 1870-1946.",Australia Felix [electronic resource].,An ebook provided by Project Gutenberg of Australia.,http://gutenberg.net.au/ebooks01/0100051.txt,00320nam  2200085ua 45e0
