008,100,245,500,856,LDR
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",The Songs of a Sentimental Bloke [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00018.txt,00338nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",Digger Smith [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00057.html,00319nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",A Book for Kids [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00061.html,00322nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dennis, C. J. (Clarence James), 1876-1938.",The Glugs of Gosh [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00062.html,00324nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dunderdale, George, 1822-1903.",Book of the Bush [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00014.html,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.","Hello, Soldier! [electronic resource].",An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00103.txt,00303nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",In the Roaring Fifties [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00104.txt,00310nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",The Gold-Stealers [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00105.txt,00305nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Dyson, Edward, 1865-1931.",The Missing Link [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00106.txt,00304nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"aEden, Charles H. (Charles Henry), 1839-1900.",Australian Search Party [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00013.txt,00332nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Eyre, Edward John, 1815-1901.",Journals of Expeditions of Discovery into Central Australia [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00048.html,00352nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Favenc, Ernest, 1845-1908.",The Explorers of Australia and their Life work [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00023.txt,00335nam  2200085ua 45e0
070529s9999    xx            000 0 und d,"Flinders, Matthew, 1774-1814.",Voyage to Terra Australis. Vol. 1 [electronic resource].,An ebook provided by Project Gutenberg Australia.,http://gutenberg.net.au/ebooks/e00049.html,00327nam  2200085ua 45e0
